Date,Value
2015-01-05,1288.26
2015-01-02,1262.31
2014-12-31,1289.66
2014-12-30,1289.66
2014-12-29,1285.36
2014-12-26,1290.42
2014-12-23,1268.12
2014-12-22,1287.51
2014-12-19,1290.2
2014-12-18,1295.36
2014-12-17,1290.74
2014-12-16,1304.09
2014-12-15,1303.99
2014-12-12,1314.42
2014-12-11,1312.7
2014-12-10,1323.58
2014-12-09,1312.27
2014-12-08,1289.88
2014-12-05,1288.58
2014-12-04,1303.45
2014-12-03,1296.34
2014-12-02,1293.75
2014-12-01,1274.15
2014-11-26,1291.71
2014-11-25,1289.88
2014-11-24,1290.63
2014-11-21,1297.53
2014-11-20,1285.79
2014-11-19,1290.63
2014-11-18,1289.12
2014-11-17,1276.73
2014-11-14,1237.97
2014-11-13,1254.02
2014-11-12,1255.31
2014-11-11,1246.27
2014-11-10,1256.81
2014-11-07,1242.17
2014-11-06,1232.81
2014-11-05,1232.58
2014-11-04,1257.89
2014-11-03,1260.7
2014-10-31,1254.34
2014-10-30,1299.14
2014-10-29,1318.09
2014-10-28,1329.83
2014-10-27,1326.27
2014-10-24,1328.32
2014-10-23,1329.94
2014-10-22,1339.62
2014-10-21,1349.43
2014-10-20,1340.37
2014-10-17,1333.81
2014-10-16,1334.02
2014-10-15,1332.19
2014-10-14,1331.12
2014-10-13,1322.51
2014-10-10,1316.69
2014-10-09,1322.4
2014-10-08,1311.74
2014-10-07,1302.15
2014-10-06,1290.74
2014-10-03,1294.5
2014-10-02,1310.12
2014-10-01,1307.64
2014-09-30,1307.96
2014-09-29,1314.85
2014-09-26,1310.66
2014-09-25,1303.34
2014-09-24,1312.49
2014-09-23,1320.67
2014-09-22,1308.18
2014-09-19,1319.81
2014-09-18,1315.51
2014-09-17,1333.81
2014-09-16,1332.3
2014-09-15,1331.12
2014-09-12,1330.58
2014-09-11,1341.35
2014-09-10,1346.08
2014-09-09,1351.04
2014-09-08,1362.56
2014-09-05,1365.04
2014-09-04,1366.12
2014-09-03,1364.71
2014-09-02,1366.66
2014-08-29,1387.12
2014-08-28,1391.75
2014-08-27,1385.5
2014-08-26,1388.08
2014-08-25,1376.24
2014-08-22,1378.17
2014-08-21,1375.48
2014-08-20,1396.16
2014-08-19,1400.04
2014-08-18,1397.34
2014-08-15,1396.26
2014-08-14,1413.82
2014-08-13,1414.57
2014-08-12,1416.95
2014-08-11,1408.97
2014-08-08,1411.88
2014-08-07,1405.42
2014-08-06,1406.5
2014-08-05,1387.33
2014-08-04,1393.58
2014-08-01,1393.9
2014-07-31,1388.19
2014-07-30,1395.73
2014-07-29,1410.05
2014-07-28,1403.81
2014-07-25,1394.11
2014-07-24,1398.96
2014-07-23,1407.04
2014-07-22,1414.57
2014-07-21,1417.48
2014-07-18,1410.27
2014-07-17,1404.99
2014-07-16,1399.39
2014-07-15,1409.72
2014-07-14,1405.96
2014-07-11,1438.8
2014-07-10,1444.29
2014-07-09,1426.74
2014-07-08,1425.13
2014-07-07,1415.86
2014-07-03,1418.34
2014-07-02,1429.12
2014-07-01,1430.19
2014-06-30,1415.11
2014-06-27,1420.6
2014-06-26,1419.42
2014-06-25,1418.13
2014-06-24,1423.95
2014-06-23,1415.65
2014-06-20,1412.1
2014-06-19,1387.76
2014-06-18,1368.92
2014-06-17,1362.89
2014-06-16,1376.13
2014-06-13,1371.17
2014-06-12,1363.96
2014-06-11,1361.27
2014-06-10,1359.0
2014-06-09,1351.04
2014-06-06,1353.2
2014-06-05,1348.14
2014-06-04,1343.5
2014-06-03,1341.35
2014-06-02,1343.83
2014-05-30,1352.11
2014-05-29,1351.04
2014-05-28,1361.81
2014-05-27,1375.81
2014-05-23,1392.5
2014-05-22,1400.79
2014-05-21,1390.88
2014-05-20,1388.51
2014-05-19,1402.19
2014-05-16,1390.88
2014-05-15,1397.34
2014-05-14,1405.96
2014-05-13,1396.8
2014-05-12,1402.4
2014-05-09,1390.34
2014-05-08,1389.05
2014-05-07,1404.03
2014-05-06,1408.76
2014-05-05,1415.11
2014-05-02,1384.42
2014-05-01,1376.88
2014-04-30,1389.8
2014-04-29,1396.26
2014-04-28,1403.81
2014-04-25,1400.57
2014-04-24,1373.66
2014-04-23,1384.42
2014-04-22,1387.65
2014-04-21,1390.88
2014-04-17,1402.72
2014-04-16,1404.89
2014-04-15,1393.9
2014-04-14,1427.49
2014-04-11,1421.03
2014-04-10,1420.49
2014-04-09,1404.89
2014-04-08,1411.35
2014-04-07,1397.67
2014-04-04,1400.57
2014-04-03,1384.09
2014-04-02,1392.5
2014-04-01,1384.09
2014-03-31,1392.5
2014-03-28,1390.34
2014-03-27,1397.89
2014-03-26,1411.35
2014-03-25,1414.03
2014-03-24,1419.42
2014-03-21,1442.04
2014-03-20,1427.71
2014-03-19,1448.61
2014-03-18,1457.11
2014-03-17,1483.6
2014-03-14,1491.03
2014-03-13,1473.26
2014-03-12,1470.03
2014-03-11,1453.34
2014-03-10,1440.84
2014-03-07,1438.8
2014-03-06,1444.94
2014-03-05,1440.41
2014-03-04,1437.19
2014-03-03,1450.11
2014-02-28,1433.2
2014-02-27,1434.49
2014-02-26,1437.19
2014-02-25,1438.26
2014-02-24,1437.73
2014-02-21,1424.81
2014-02-20,1417.81
2014-02-19,1421.57
2014-02-18,1424.27
2014-02-14,1420.49
2014-02-13,1394.11
2014-02-12,1390.88
2014-02-11,1377.63
2014-02-10,1373.66
2014-02-07,1356.42
2014-02-06,1359.0
2014-02-05,1360.74
2014-02-04,1345.64
2014-02-03,1345.12
2014-01-31,1348.03
2014-01-30,1335.97
2014-01-29,1365.04
2014-01-28,1356.1
2014-01-27,1360.52
2014-01-24,1365.57
2014-01-23,1352.65
2014-01-22,1336.5
2014-01-21,1332.73
2014-01-17,1346.3
2014-01-16,1339.3
2014-01-15,1332.73
2014-01-14,1345.65
2014-01-13,1343.5
2014-01-10,1338.55
2014-01-09,1319.27
2014-01-08,1317.44
2014-01-07,1327.56
2014-01-06,1336.4
2014-01-03,1325.52
2014-01-02,1318.73
2013-12-31,1278.36
2013-12-30,1300.43
2013-12-27,1310.12
2013-12-26,1306.89
2013-12-23,1292.89
2013-12-20,1289.66
2013-12-19,1296.13
2013-12-18,1328.43
2013-12-17,1329.61
2013-12-16,1331.33
2013-12-13,1328.53
2013-12-12,1326.27
2013-12-11,1357.5
2013-12-10,1361.81
2013-12-09,1327.35
2013-12-06,1330.58
2013-12-05,1319.81
2013-12-04,1324.12
2013-12-03,1314.75
2013-12-02,1334.35
2013-11-27,1346.74
2013-11-26,1340.27
2013-11-25,1331.12
2013-11-22,1342.97
2013-11-21,1337.47
2013-11-20,1358.04
2013-11-19,1373.12
2013-11-18,1383.34
2013-11-15,1388.19
2013-11-14,1381.19
2013-11-13,1373.66
2013-11-12,1380.65
2013-11-11,1383.02
2013-11-08,1394.44
2013-11-07,1409.19
2013-11-06,1419.42
2013-11-05,1417.97
2013-11-04,1420.76
2013-11-01,1417.0
2013-10-31,1429.12
2013-10-30,1460.33
2013-10-29,1452.37
2013-10-28,1456.03
2013-10-25,1447.2
2013-10-24,1445.37
2013-10-23,1435.03
2013-10-22,1431.27
2013-10-21,1418.88
2013-10-18,1419.42
2013-10-17,1418.88
2013-10-16,1376.88
2013-10-15,1361.27
2013-10-14,1383.88
2013-10-11,1363.42
2013-10-10,1399.0
2013-10-09,1409.51
2013-10-08,1424.81
2013-10-07,1420.49
2013-10-04,1419.96
2013-10-03,1414.03
2013-10-02,1402.19
2013-10-01,1396.8
2013-09-30,1426.96
2013-09-27,1438.26
2013-09-26,1434.49
2013-09-25,1423.19
2013-09-24,1411.35
2013-09-23,1425.34
2013-09-20,1457.65
2013-09-19,1470.57
2013-09-18,1401.65
2013-09-17,1416.18
2013-09-16,1418.88
2013-09-13,1419.42
2013-09-12,1433.95
2013-09-11,1467.34
2013-09-10,1471.11
2013-09-09,1494.26
2013-09-06,1488.34
2013-09-05,1496.41
2013-09-04,1501.8
2013-09-03,1507.18
2013-08-30,1502.6
2013-08-29,1516.6
2013-08-28,1529.25
2013-08-27,1528.98
2013-08-26,1505.3
2013-08-23,1484.03
2013-08-22,1481.88
2013-08-21,1468.42
2013-08-20,1478.64
2013-08-19,1470.57
2013-08-16,1475.15
2013-08-15,1432.61
2013-08-14,1429.12
2013-08-13,1431.27
2013-08-12,1444.72
2013-08-09,1410.21
2013-08-08,1398.69
2013-08-07,1381.73
2013-08-06,1379.58
2013-08-05,1405.69
2013-08-02,1410.54
2013-08-01,1416.73
2013-07-31,1416.18
2013-07-30,1426.58
2013-07-29,1432.61
2013-07-26,1433.95
2013-07-25,1428.57
2013-07-24,1438.26
2013-07-23,1436.65
2013-07-22,1429.65
2013-07-19,1396.0
2013-07-18,1382.54
2013-07-17,1397.62
2013-07-16,1391.43
2013-07-15,1384.15
2013-07-12,1378.77
2013-07-11,1384.42
2013-07-10,1353.2
2013-07-09,1352.65
2013-07-08,1330.85
2013-07-05,1306.62
2013-07-03,1346.74
2013-07-02,1349.43
2013-07-01,1338.92
2013-06-28,1284.28
2013-06-27,1328.16
2013-06-26,1331.93
2013-06-25,1377.96
2013-06-24,1386.31
2013-06-21,1395.46
2013-06-20,1392.5
2013-06-19,1478.91
2013-06-18,1472.45
2013-06-17,1491.83
2013-06-14,1498.84
2013-06-13,1492.1
2013-06-12,1489.68
2013-06-11,1480.53
2013-06-10,1490.22
2013-06-07,1493.19
2013-06-06,1508.26
2013-06-05,1512.57
2013-06-04,1507.72
2013-06-03,1510.94
2013-05-31,1502.33
2013-05-30,1522.79
2013-05-29,1489.41
2013-05-28,1482.95
2013-05-24,1497.75
2013-05-23,1487.26
2013-05-22,1517.41
2013-05-21,1465.99
2013-05-20,1459.53
2013-05-17,1474.61
2013-05-16,1487.8
2013-05-15,1519.03
2013-05-14,1544.6
2013-05-13,1541.37
2013-05-10,1536.8
2013-05-09,1578.79
2013-05-08,1581.49
2013-05-07,1555.91
2013-05-06,1581.49
2013-05-03,1582.83
2013-05-02,1582.83
2013-05-01,1567.21
2013-04-30,1582.56
2013-04-29,1580.94
2013-04-26,1585.25
2013-04-25,1563.18
2013-04-24,1538.95
2013-04-23,1516.87
2013-04-22,1534.64
2013-04-19,1514.18
2013-04-18,1501.53
2013-04-17,1499.65
2013-04-16,1486.73
