Date,Value
2015-04-21,333.8
2015-04-20,336.5
2015-04-17,333.0
2015-04-16,330.4
2015-04-15,330.0
2015-04-14,332.1
2015-04-13,327.3
2015-04-10,329.2
2015-04-09,332.1
2015-04-08,340.9
2015-04-07,341.2
2015-04-06,338.5
2015-04-03,351.3
2015-04-02,351.3
2015-04-01,357.4
2015-03-31,352.3
2015-03-30,348.7
2015-03-27,346.9
2015-03-26,347.9
2015-03-25,352.5
2015-03-24,354.3
2015-03-23,355.3
2015-03-20,352.0
2015-03-19,349.8
2015-03-18,352.3
2015-03-17,349.0
2015-03-16,355.2
2015-03-13,357.5
2015-03-12,363.1
2015-03-11,364.8
2015-03-10,362.5
2015-03-09,372.1
2015-03-06,365.2
2015-03-05,362.7
2015-03-04,363.1
2015-03-03,370.8
2015-03-02,373.3
2015-02-27,382.7
2015-02-26,383.6
2015-02-25,381.0
2015-02-24,387.4
2015-02-23,378.8
2015-02-20,378.0
2015-02-19,378.0
2015-02-18,369.1
2015-02-17,372.8
2015-02-13,363.8
2015-02-12,362.0
2015-02-11,361.1
2015-02-10,358.4
2015-02-09,361.1
2015-02-06,360.9
2015-02-05,362.9
2015-02-04,364.2
2015-02-03,372.1
2015-02-02,359.4
2015-01-30,361.4
2015-01-29,369.4
2015-01-28,368.9
2015-01-27,368.1
2015-01-26,363.0
2015-01-23,363.0
2015-01-22,361.6
2015-01-21,362.0
2015-01-20,358.0
2015-01-16,357.7
2015-01-15,358.2
2015-01-14,369.5
2015-01-13,380.1
2015-01-12,390.2
2015-01-09,400.1
2015-01-08,406.2
2015-01-07,413.0
2015-01-06,415.3
2015-01-05,420.0
2015-01-02,407.5
2014-12-31,418.1
2014-12-30,423.0
2014-12-29,430.9
2014-12-26,435.2
2014-12-24,426.9
2014-12-23,426.8
2014-12-22,426.4
2014-12-19,421.5
2014-12-18,423.3
2014-12-17,418.3
2014-12-16,415.6
2014-12-15,432.4
2014-12-12,437.0
2014-12-11,446.0
2014-12-10,446.6
2014-12-09,458.6
2014-12-08,447.5
2014-12-05,439.2
2014-12-04,433.2
2014-12-03,428.6
2014-12-02,429.6
2014-12-01,433.4
2014-11-26,455.1
2014-11-25,444.1
2014-11-24,428.4
2014-11-21,431.9
2014-11-20,424.3
2014-11-19,425.9
2014-11-18,442.5
2014-11-17,451.6
2014-11-14,444.4
2014-11-13,455.0
2014-11-12,456.5
2014-11-10,444.9
2014-11-07,453.9
2014-11-06,455.2
2014-11-05,433.8
2014-11-04,428.0
2014-11-03,428.2
2014-10-31,442.0
2014-10-30,433.0
2014-10-29,450.2
2014-10-28,428.1
2014-10-27,427.8
2014-10-24,399.2
